year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,11,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",87.00,15.00,3.66,1.71,3.23,0.00,6.40,7.00,0.00,1001.00,132.00,114.00,112.00,0.00,643.00
2025,11,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",22.00,6.00,4.18,0.04,0.50,0.00,1.27,2.00,0.00,792.00,569.00,7.00,16.00,0.00,200.00
2025,11,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",87.00,15.00,8.44,1.00,1.37,0.00,4.19,7.00,0.00,905.00,408.00,119.00,46.00,0.00,332.00
2025,11,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",58.00,14.00,7.13,0.00,1.47,0.00,5.39,5.00,0.00,752.00,356.00,0.00,90.00,0.00,306.00
2025,11,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",56.00,20.00,3.92,0.00,6.41,0.00,9.67,1.00,0.00,1654.00,439.00,0.00,316.00,0.00,899.00
2025,11,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2356.00,375.00,72.92,7.12,82.59,0.05,212.31,151.00,7.00,38470.00,13193.00,590.00,4441.00,6.00,20240.00
2025,11,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,11,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",89.00,8.00,3.26,0.00,3.48,0.00,1.26,0.00,0.00,613.00,316.00,0.00,206.00,0.00,91.00
2025,11,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",59.00,15.00,2.10,0.00,3.92,0.00,8.98,2.00,0.00,1826.00,300.00,0.00,421.00,0.00,1105.00
2025,11,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",111.00,25.00,6.87,0.00,4.77,0.00,13.36,5.00,0.00,1992.00,822.00,0.00,271.00,0.00,899.00
2025,11,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",140.00,29.00,6.50,0.00,7.61,0.00,14.90,7.00,0.00,2126.00,388.00,0.00,428.00,0.00,1310.00
2025,11,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",97.00,22.00,9.27,1.49,5.87,0.00,5.36,2.00,0.00,1564.00,610.00,259.00,367.00,0.00,328.00
2025,11,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",58.00,13.00,5.65,0.90,1.65,0.00,4.79,2.00,1.00,1588.00,528.00,540.00,45.00,0.00,475.00
2025,11,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",188.00,43.00,11.64,0.00,18.57,0.00,12.79,3.00,0.00,3268.00,907.00,0.00,998.00,0.00,1363.00
2025,11,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",88.00,19.00,7.28,1.00,2.62,0.00,8.10,3.00,0.00,1215.00,379.00,95.00,63.00,0.00,678.00
2025,11,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",17.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,11,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Patrick Leahy Burlington International",167.00,31.00,6.11,0.00,8.42,0.00,16.47,6.00,0.00,1898.00,523.00,0.00,383.00,0.00,992.00
